catalog_id,size_id,army_profile,start_profile,objective_id,readiness,deadline_seconds,player_rifle,player_gunner,player_rocketeer,player_car,player_apc,player_tank,player_aa,player_transport_heli,player_infantry,player_ground,player_air,player_combat,player_supply,player_logistics_support,player_objective_trucks,player_starting_structures,player_designated_rifles,enemy_rifle,enemy_gunner,enemy_rocketeer,enemy_car,enemy_apc,enemy_tank,enemy_aa,enemy_transport_heli,enemy_infantry,enemy_ground,enemy_air,enemy_combat,enemy_supply,enemy_logistics_support,enemy_objective_trucks,enemy_starting_structures,enemy_designated_rifles,materials_each,oil_each,usable_fuel_each,materials_capacity_each,oil_capacity_each,fuel_capacity_each,infantry_queues_each,vehicle_queues_each,logistics_queues_each,refinery_modules_each,infantry_cap_each,ground_cap_each,tactical_air_cap_each,supply_cap_each,logistics_support_cap_each,delivery_carrier_cap_each,objective_support_extra_player,player_built_structure_cap_each,barrier_segment_cap_each,loaded_vehicle_fuel,status
S001,Standard,G,F,BA,1,1080,8,0,4,1,1,0,0,0,12,2,0,14,20,2,0,7,0,8,0,4,1,1,0,0,0,12,2,0,14,20,2,0,7,0,450,120,350,800,500,800,1,1,1,1,48,8,2,128,6,2,0,20,40,Full certified role tanks; report actual totals separately from usable store,Planned
S001,War,G,F,BA,1,1500,12,4,4,1,2,0,0,0,20,3,0,23,32,3,0,7,0,12,4,4,1,2,0,0,0,20,3,0,23,32,3,0,7,0,675,180,525,1200,750,1200,2,1,1,1,96,12,4,200,8,2,0,30,60,Full certified role tanks; report actual totals separately from usable store,Planned
S001,LargeWar,G,F,BA,1,1800,16,4,4,2,2,0,0,0,24,4,0,28,40,3,0,7,0,16,4,4,2,2,0,0,0,24,4,0,28,40,3,0,7,0,900,240,700,1600,1000,1600,2,1,1,1,144,20,6,320,10,2,0,40,80,Full certified role tanks; report actual totals separately from usable store,Planned
S002,Standard,G,E,BA,2,1080,12,4,4,1,1,1,0,0,20,3,0,23,34,3,0,10,0,12,4,4,1,1,1,0,0,20,3,0,23,34,3,0,10,0,900,240,700,1800,1000,1600,2,1,1,1,48,8,2,128,6,2,0,20,40,Full certified role tanks; report actual totals separately from usable store,Planned
S002,War,G,E,BA,2,1500,16,4,8,1,2,2,0,0,28,5,0,33,52,4,0,11,0,16,4,8,1,2,2,0,0,28,5,0,33,52,4,0,11,0,1350,360,1050,2700,1500,2400,2,2,1,2,96,12,4,200,8,2,0,30,60,Full certified role tanks; report actual totals separately from usable store,Planned
S002,LargeWar,G,E,BA,2,1800,24,8,8,2,2,3,0,0,40,7,0,47,74,4,0,11,0,24,8,8,2,2,3,0,0,40,7,0,47,74,4,0,11,0,1800,480,1400,3600,2000,3200,2,2,1,2,144,20,6,320,10,2,0,40,80,Full certified role tanks; report actual totals separately from usable store,Planned
S003,Standard,A,F,BA,1,1080,8,0,4,1,1,0,0,0,12,2,0,14,20,2,0,7,0,8,0,4,1,1,0,0,0,12,2,0,14,20,2,0,7,0,450,120,350,800,500,800,1,1,1,1,48,8,2,128,6,2,0,20,40,Full certified role tanks; report actual totals separately from usable store,Planned
S003,War,A,F,BA,1,1500,12,4,4,1,2,0,0,0,20,3,0,23,32,3,0,7,0,12,4,4,1,2,0,0,0,20,3,0,23,32,3,0,7,0,675,180,525,1200,750,1200,2,1,1,1,96,12,4,200,8,2,0,30,60,Full certified role tanks; report actual totals separately from usable store,Planned
S003,LargeWar,A,F,BA,1,1800,16,4,4,2,2,0,0,0,24,4,0,28,40,3,0,7,0,16,4,4,2,2,0,0,0,24,4,0,28,40,3,0,7,0,900,240,700,1600,1000,1600,2,1,1,1,144,20,6,320,10,2,0,40,80,Full certified role tanks; report actual totals separately from usable store,Planned
S004,Standard,A,E,BA,2,1080,12,4,4,1,1,0,1,1,20,3,1,24,42,3,0,10,0,12,4,4,1,1,0,1,1,20,3,1,24,42,3,0,10,0,900,240,700,1800,1000,1600,2,1,1,1,48,8,2,128,6,2,0,20,40,Full certified role tanks; report actual totals separately from usable store,Planned
