frame,opening_ms,stage,focus_x,focus_z,height,pitch,yaw,fov,mission_ms
472,16,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
473,28,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
474,109,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
475,122,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
476,132,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
477,142,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
478,151,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
479,160,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
480,169,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
481,178,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
482,189,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
483,198,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
484,207,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
485,217,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
486,228,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
487,237,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
488,246,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
489,255,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
490,264,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
491,273,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
492,282,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
493,291,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
494,300,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
495,309,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
496,318,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
497,328,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
498,338,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
499,347,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
500,356,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
501,365,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
502,375,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
503,384,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
504,393,0,930.0092,401.9968,44.0000,40.0000,10.0000,36.0000,0
