Vehicle=Entity(783:5) cameraHeight=55 selected=True position=float3(1062.941f, 0.4491798f, 432.3853f) rotation=quaternion(0f, 0f, 0f, 1f)
Entity(783:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(1062.941f, 0.4491798f, 432.3853f) render=False disabled=False hidden=False
Entity(784:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(783:5) render=True disabled=False hidden=False bounds=float3(1062.951f, 2.462188f, 429.228f) extents=float3(64f, 64f, 64f)
Entity(794:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1062.941f, 2.112517f, 433.0209f) extents=float3(64f, 64f, 64f)
Entity(793:5) name= world=float3(1063.527f, 1.210147f, 435.6665f) distance=3.418963 local=float3(0.5865617f, 0.7609674f, 3.281183f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1063.527f, 1.593207f, 435.6965f) extents=float3(64f, 64f, 64f)
Entity(792:5) name= world=float3(1062.354f, 1.210147f, 435.6665f) distance=3.418963 local=float3(-0.5865617f, 0.7609674f, 3.281183f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1062.354f, 1.593207f, 435.6965f) extents=float3(64f, 64f, 64f)
Entity(789:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1064.112f, 1.887449f, 432.3691f) extents=float3(64f, 64f, 64f)
Entity(790:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(789:5) render=True disabled=False hidden=False bounds=float3(1064.164f, 2.085032f, 432.3777f) extents=float3(64f, 64f, 64f)
Entity(952:7) name=UnitSelectionVehicleObjectOutline world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(789:5) render=True disabled=False hidden=False bounds=float3(1064.164f, 2.085032f, 432.3777f) extents=float3(64f, 64f, 64f)
Entity(787:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1061.77f, 1.887449f, 432.3691f) extents=float3(64f, 64f, 64f)
Entity(788:5) name= world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(787:5) render=True disabled=False hidden=False bounds=float3(1061.718f, 2.085032f, 432.3777f) extents=float3(64f, 64f, 64f)
Entity(948:7) name=UnitSelectionVehicleObjectOutline world=float3(1062.941f, 0.4491798f, 432.3853f) distance=0 local=float3(0f, 0f, 0f) parent=Entity(787:5) render=True disabled=False hidden=False bounds=float3(1061.718f, 2.085032f, 432.3777f) extents=float3(64f, 64f, 64f)
Entity(786:5) name= world=float3(1062.941f, 3.550853f, 432.3853f) distance=3.101674 local=float3(-1.705303E-15f, 3.101674f, 6.296877E-09f) parent=Entity(784:5) render=True disabled=False hidden=False bounds=float3(1062.941f, 3.765277f, 432.3853f) extents=float3(64f, 64f, 64f)
