run_id,catalog_id,definition_version,code_hash,config_hash,size,difficulty,seed,locale,device,executor,normal_speed,started_at,result,end_reason,duration_seconds,input_violations,human_interventions,trace_path,log_path
S002-aria-rs-130365-en-1,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,5c43584ff9966e3975218c774025464066d524905524fac6639ab54f3d82f6d3,Standard,Regular,130365,en,Editor,aria,1,2026-09-23T10:36:22Z,Victory,MainBaseDestroyed,93.679,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-en-1.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-en-1-log.txt
S002-aria-rs-130365-en-2,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,5c43584ff9966e3975218c774025464066d524905524fac6639ab54f3d82f6d3,Standard,Regular,130365,en,Editor,aria,1,2026-09-23T10:53:44Z,Victory,MainBaseDestroyed,95.798,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-en-2.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-en-2-log.txt
S002-aria-rs-104731-en-1,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,ca6feae5f18d3b72b8ddff7cac1396973581dd05c3d18904e01e9df32901bd6a,Standard,Regular,104731,en,Editor,aria,1,2026-09-23T10:59:59Z,Victory,MainBaseDestroyed,97.958,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-104731-en-1.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-104731-en-1-log.txt
S002-aria-rs-104731-en-2,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,ca6feae5f18d3b72b8ddff7cac1396973581dd05c3d18904e01e9df32901bd6a,Standard,Regular,104731,en,Editor,aria,1,2026-09-23T11:06:16Z,Victory,MainBaseDestroyed,99.544,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-104731-en-2.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-104731-en-2-log.txt
S002-aria-rs-155923-en-1,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,930b49cd157b1a32283e14046b7bb1fc2f89f38b47ca105ef3026e069f725890,Standard,Regular,155923,en,Editor,aria,1,2026-09-23T11:13:54Z,Victory,MainBaseDestroyed,98.884,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-155923-en-1.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-155923-en-1-log.txt
S002-aria-rs-155923-en-2,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,930b49cd157b1a32283e14046b7bb1fc2f89f38b47ca105ef3026e069f725890,Standard,Regular,155923,en,Editor,aria,1,2026-09-23T11:18:11Z,Victory,MainBaseDestroyed,98.991,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-155923-en-2.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-155923-en-2-log.txt
S002-aria-rs-104731-fa-1,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,ca6feae5f18d3b72b8ddff7cac1396973581dd05c3d18904e01e9df32901bd6a,Standard,Regular,104731,fa-IR,Editor,aria,1,2026-09-23T11:24:11Z,Victory,MainBaseDestroyed,99.76,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-104731-fa-1.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-104731-fa-1-log.txt
S002-aria-rs-104731-fa-2,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,ca6feae5f18d3b72b8ddff7cac1396973581dd05c3d18904e01e9df32901bd6a,Standard,Regular,104731,fa-IR,Editor,aria,1,2026-09-23T11:28:48Z,Victory,MainBaseDestroyed,98.721,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-104731-fa-2.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-104731-fa-2-log.txt
S002-aria-rs-130365-fa-1,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,5c43584ff9966e3975218c774025464066d524905524fac6639ab54f3d82f6d3,Standard,Regular,130365,fa-IR,Editor,aria,1,2026-09-23T11:32:52Z,Victory,MainBaseDestroyed,100.033,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-fa-1.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-fa-1-log.txt
S002-aria-rs-130365-fa-2,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,5c43584ff9966e3975218c774025464066d524905524fac6639ab54f3d82f6d3,Standard,Regular,130365,fa-IR,Editor,aria,1,2026-09-23T11:36:54Z,Victory,MainBaseDestroyed,99.479,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-fa-2.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-fa-2-log.txt
S002-aria-rs-155923-fa-1,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,930b49cd157b1a32283e14046b7bb1fc2f89f38b47ca105ef3026e069f725890,Standard,Regular,155923,fa-IR,Editor,aria,1,2026-09-23T11:40:59Z,Victory,MainBaseDestroyed,99.497,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-155923-fa-1.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-155923-fa-1-log.txt
S002-aria-rs-155923-fa-2,S002,1,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,930b49cd157b1a32283e14046b7bb1fc2f89f38b47ca105ef3026e069f725890,Standard,Regular,155923,fa-IR,Editor,aria,1,2026-09-23T11:44:52Z,Victory,MainBaseDestroyed,98.914,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-155923-fa-2.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-155923-fa-2-log.txt
S002-aria-rs-130365-en-3,S002,2,0c104508f96f68b3850abae2dcc62f719934aadd5ff84f0c3853023afc2f067f,9aaaec76226d25c1f7374ac5becd7a58acd75c812ec13f8a1d6d121a2fe7d4d7,Standard,Regular,130365,en,Editor,aria,1,2026-09-23T21:06:41Z,Victory,MainBaseDestroyed,132.155,0,0,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-en-3.jsonl,Design/AgentReports/SkirmishExpansion/S002/_Evidence/s002-aria-rs-130365-en-3-log.txt
