id,category,display_name,requirement,source,required_for,planned_path,current_status,approval_status,completion_status,notes
"ability.aid_convoy","combat.operationAbility","Aid Convoy","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.aid_convoy_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.aid_convoy","combat.operationAbility","Aid Convoy","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.aid_convoy_VFX.asset","missing","not_reviewed","not_started","vfx.ability.aid_convoy"
"ability.breach_charge","combat.supportAbility","Breach Charge","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.breach_charge_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.breach_charge","combat.supportAbility","Breach Charge","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.breach_charge_VFX.asset","missing","not_reviewed","not_started","vfx.ability.breach_charge"
"ability.casualty_stabilize","combat.supportAbility","Casualty Stabilize","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.casualty_stabilize_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.casualty_stabilize","combat.supportAbility","Casualty Stabilize","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.casualty_stabilize_VFX.asset","missing","not_reviewed","not_started","vfx.ability.casualty_stabilize"
"ability.drone_scan","combat.supportAbility","Drone Scan","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.drone_scan_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.drone_scan","combat.supportAbility","Drone Scan","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.drone_scan_VFX.asset","missing","not_reviewed","not_started","vfx.ability.drone_scan"
"ability.evacuation_corridor","combat.supportAbility","Evacuation Corridor","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.evacuation_corridor_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.evacuation_corridor","combat.supportAbility","Evacuation Corridor","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.evacuation_corridor_VFX.asset","missing","not_reviewed","not_started","vfx.ability.evacuation_corridor"
"ability.field_repair","combat.supportAbility","Field Repair","command/support ability UI icon, readable at 48px and cooldown-overlay compatible","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","Command Wheel, Battle HUD, Loadout, Operation, Store, POP-09","Assets/Game/Art/UI/Generated/CombatCatalog/AbilityIcons/ability.field_repair_Icon.png","missing","not_reviewed","not_started","needsProductionAsset"
"ability.field_repair","combat.supportAbility","Field Repair","VFX cue art/sprite/particle package","Design/VisualConfigs/Combat_Visual_Config_v0_1.json","tactical gameplay feedback","Assets/Game/Art/Generated/CombatCatalog/VFX/ability.field_repair_VFX.asset","missing","not_reviewed","not_started","vfx.ability.field_repair"
