clip_id	start_seconds	deadline_seconds	duration_seconds	end_seconds	speaker	backend	voice	rate	volume	pitch
p02_radio	7.7	12.0	4.176009	11.876009	RADIO	edge	en-US-EricNeural	+30%	+0%	-6Hz
p03_radio	12.2	16.0	3.648005	15.848005	RADIO	edge	en-US-EricNeural	+30%	+0%	-6Hz
p04_dalia	16.2	19.2	2.976009	19.176009	DALIA	edge	en-US-MichelleNeural	+30%	+0%	-4Hz
p04_samira	19.3	22.0	2.592018	21.892018	SAMIRA	edge	en-US-AvaNeural	+20%	+0%	+2Hz
p05_aria	22.2	26.5	4.128005	26.328005	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p06_aria	26.7	31.5	4.536009	31.236009	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p07_aria	31.7	36.0	4.080000	35.780000	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p08_aria	36.3	42.0	3.528005	39.828005	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p09_aria	42.2	46.5	3.840000	46.040000	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
guidance_aria	46.8	51.5	2.208005	49.008005	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p10_aria	51.7	55.0	3.168005	54.868005	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p11_dalia	55.2	59.5	4.224014	59.424014	DALIA	edge	en-US-MichelleNeural	+30%	+0%	-4Hz
p12_samira	59.7	63.0	2.688005	62.388005	SAMIRA	edge	en-US-AvaNeural	+25%	+0%	+2Hz
p13_aria	63.2	68.0	4.416009	67.616009	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p14_commander	68.2	71.5	3.288005	71.488005	COMMANDER	edge	en-US-ChristopherNeural	+30%	+0%	-5Hz
p15_dalia	71.7	75.5	2.616009	74.316009	DALIA	edge	en-US-MichelleNeural	+30%	+0%	-4Hz
p16_aria	75.7	80.5	4.608005	80.308005	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p17_dalia	80.7	84.5	3.720000	84.420000	DALIA	edge	en-US-MichelleNeural	+30%	+0%	-4Hz
p18_aria	84.7	88.5	3.408005	88.108005	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p19_samira	90.7	94.5	2.808005	93.508005	SAMIRA	edge	en-US-AvaNeural	+20%	+0%	+2Hz
p20_aria	94.7	99.5	4.344014	99.044014	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p21_dalia	99.7	103.5	2.808005	102.508005	DALIA	edge	en-US-MichelleNeural	+30%	+0%	-4Hz
p22_aria	103.7	108.5	4.320000	108.020000	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
