order	state_id	start_seconds	duration_seconds	end_seconds	motion	skip_destination
0	first_launch.logo	0.0	2.5	2.5	Static	first_launch.m01_handoff
1	FL-P01	2.5	5.0	7.5	PushIn	first_launch.m01_handoff
2	FL-P02	7.5	4.5	12	StaticImpact	first_launch.m01_handoff
3	FL-P03	12.0	4.0	16	DriftRight	first_launch.m01_handoff
4	FL-P04	16.0	6.0	22	PushIn	first_launch.m01_handoff
5	FL-P05	22.0	4.5	26.5	PushIn	first_launch.m01_handoff
6	FL-P06	26.5	5.0	31.5	DriftLeft	first_launch.m01_handoff
7	FL-P07	31.5	4.5	36	PushIn	first_launch.m01_handoff
8	FL-P08	36.0	6.0	42	StaticInteractive	first_launch.m01_handoff
9	FL-P09	42.0	4.5	46.5	PushIn	first_launch.m01_handoff
10	first_launch.guidance_choice	46.5	5.0	51.5	StaticInteractive	first_launch.m01_handoff
11	FL-P10	51.5	3.5	55	DriftRight	first_launch.m01_handoff
12	FL-P11	55.0	4.5	59.5	PushIn	first_launch.m01_handoff
13	FL-P12	59.5	3.5	63	PushIn	first_launch.m01_handoff
14	FL-P13	63.0	5.0	68	DriftLeft	first_launch.m01_handoff
15	FL-P14	68.0	3.5	71.5	PushIn	first_launch.m01_handoff
16	FL-P15	71.5	4.0	75.5	PushIn	first_launch.m01_handoff
17	FL-P16	75.5	5.0	80.5	DriftRight	first_launch.m01_handoff
18	FL-P17	80.5	4.0	84.5	PushIn	first_launch.m01_handoff
19	FL-P18	84.5	4.0	88.5	PushIn	first_launch.m01_handoff
20	first_launch.gameplay_placeholder	88.5	2.0	90.5	Static	seq.ch01.m01.debrief
21	FL-P19	90.5	4.0	94.5	DriftRight	first_launch.command_base_reveal
22	FL-P20	94.5	5.0	99.5	PushIn	first_launch.command_base_reveal
23	FL-P21	99.5	4.0	103.5	DriftLeft	first_launch.command_base_reveal
24	FL-P22	103.5	5.0	108.5	PullBack	first_launch.command_base_reveal
