clip_id	start_seconds	deadline_seconds	duration_seconds	end_seconds	speaker	backend	voice	rate	volume	pitch
p02_radio	17.8	25.5	7.080000	24.880000	RADIO	edge	en-US-EricNeural	+15%	+0%	-6Hz
p03_radio	25.8	34.5	7.344014	33.144014	RADIO	edge	en-US-EricNeural	+15%	+0%	-6Hz
p04_dalia	35.0	46.5	8.112018	43.112018	DALIA	edge	en-US-MichelleNeural	+10%	+0%	-4Hz
p04_samira	47.0	58.5	6.936009	53.936009	SAMIRA	edge	en-US-AvaNeural	+5%	+0%	+2Hz
p05_aria	59.0	68.5	7.200000	66.200000	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p06_aria	69.0	78.5	5.760000	74.760000	ARIA	edge	en-US-AriaNeural	+15%	+0%	-2Hz
p07_aria	79.0	88.5	5.904014	84.904014	ARIA	edge	en-US-AriaNeural	+15%	+0%	-2Hz
p09_aria	89.0	96.5	6.168005	95.168005	ARIA	edge	en-US-AriaNeural	+15%	+0%	-2Hz
p10_aria	97.0	104.5	5.352018	102.352018	ARIA	edge	en-US-AriaNeural	+15%	+0%	-2Hz
p11_dalia	105.0	113.5	5.592018	110.592018	DALIA	edge	en-US-MichelleNeural	+15%	+0%	-4Hz
p12_samira	114.0	122.5	4.704014	118.704014	SAMIRA	edge	en-US-AvaNeural	+10%	+0%	+2Hz
p13_aria	123.0	130.5	5.136009	128.136009	ARIA	edge	en-US-AriaNeural	+15%	+0%	-2Hz
p14_commander	131.0	138.5	6.888005	137.888005	COMMANDER	edge	en-US-ChristopherNeural	+10%	+0%	-5Hz
p15_dalia	139.0	148.5	5.688005	144.688005	DALIA	edge	en-US-MichelleNeural	+15%	+0%	-4Hz
p16_aria	149.0	158.5	7.560000	156.560000	ARIA	edge	en-US-AriaNeural	+20%	+0%	-2Hz
p17_dalia	159.0	166.5	4.776009	163.776009	DALIA	edge	en-US-MichelleNeural	+15%	+0%	-4Hz
p18_aria	167.0	176.5	5.592018	172.592018	ARIA	edge	en-US-AriaNeural	+15%	+0%	-2Hz
