order	state_id	start_seconds	duration_seconds	end_seconds	motion
0	first_launch.logo	0.0	2.5	2.5	Static
1	FL-P01	2.5	15.0	17.5	PushIn
2	FL-P02	17.5	8.0	25.5	StaticImpact
3	FL-P03	25.5	9.0	34.5	DriftRight
4	FL-P04	34.5	24.0	58.5	PushIn
5	FL-P05	58.5	10.0	68.5	PushIn
6	FL-P06	68.5	10.0	78.5	DriftLeft
7	FL-P07	78.5	10.0	88.5	PushIn
8	FL-P09	88.5	8.0	96.5	PushIn
9	FL-P10	96.5	8.0	104.5	DriftRight
10	FL-P11	104.5	9.0	113.5	PushIn
11	FL-P12	113.5	9.0	122.5	PushIn
12	FL-P13	122.5	8.0	130.5	DriftLeft
13	FL-P14	130.5	8.0	138.5	PushIn
14	FL-P15	138.5	10.0	148.5	PushIn
15	FL-P16	148.5	10.0	158.5	DriftRight
16	FL-P17	158.5	8.0	166.5	PushIn
17	FL-P18	166.5	10.0	176.5	PushIn
