catalog_id,handoff_ordinal,remaining_after_three,legacy_runtime_index,map_id,operation_map_id,objective_id,army_profile,start_profile,definition_id,scenario_setup_id,layout_id,packet,objective_system,required_tickets,required_capabilities,asset_folder,first_visit_size,recommended_size,default_difficulty,regular_seeds,recruit_standard_en_seed,veteran_standard_en_seed,commander_standard_en_seed,war_regular_en_fa_seed,large_war_regular_en_fa_seed,implementation_status,manual_win,aria_win,checkpoint,device,evidence_path
S001,1,no,0,DB,opmap.skirmish.desert_base_01,BA,G,F,skirmish.s001,scenario.skirmish.s001,layout.skirmish.db.ba,Scenarios/DB_BA.md#s001,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S001,Standard,Standard,Regular,104730;130364;155922,196614,262148,327674,393242,458880,Planned,Pending,Pending,Pending,Pending,
S002,4,yes,,DB,opmap.skirmish.desert_base_01,BA,G,E,skirmish.s002,scenario.skirmish.s002,layout.skirmish.db.ba,Scenarios/DB_BA.md#s002,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S002,Standard,Standard,Regular,104731;130365;155923,196615,262149,327675,393243,458881,Planned,Pending,Pending,Pending,Pending,
S003,5,yes,,DB,opmap.skirmish.desert_base_01,BA,A,F,skirmish.s003,scenario.skirmish.s003,layout.skirmish.db.ba,Scenarios/DB_BA.md#s003,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S003,Standard,War,Regular,104732;130366;155924,196616,262150,327676,393244,458882,Planned,Pending,Pending,Pending,Pending,
S004,6,yes,,DB,opmap.skirmish.desert_base_01,BA,A,E,skirmish.s004,scenario.skirmish.s004,layout.skirmish.db.ba,Scenarios/DB_BA.md#s004,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S004,Standard,War,Regular,104733;130367;155925,196617,262151,327677,393245,458883,Planned,Pending,Pending,Pending,Pending,
S005,7,yes,,DB,opmap.skirmish.desert_base_01,BA,C,F,skirmish.s005,scenario.skirmish.s005,layout.skirmish.db.ba,Scenarios/DB_BA.md#s005,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S005,Standard,War,Regular,104734;130368;155926,196618,262152,327678,393246,458884,Planned,Pending,Pending,Pending,Pending,
S006,8,yes,,DB,opmap.skirmish.desert_base_01,BA,C,E,skirmish.s006,scenario.skirmish.s006,layout.skirmish.db.ba,Scenarios/DB_BA.md#s006,SkirmishBaseAssaultObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-06;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_ba,Assets/Game/Configs/SkirmishExpansion/Scenarios/S006,Standard,War,Regular,104735;130369;155927,196619,262153,327679,393247,458885,Planned,Pending,Pending,Pending,Pending,
S007,9,yes,,DB,opmap.skirmish.desert_base_01,FC,G,F,skirmish.s007,scenario.skirmish.s007,layout.skirmish.db.fc,Scenarios/DB_FC.md#s007,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S007,Standard,War,Regular,104736;130370;155928,196620,262154,327680,393248,458886,Planned,Pending,Pending,Pending,Pending,
S008,10,yes,,DB,opmap.skirmish.desert_base_01,FC,G,E,skirmish.s008,scenario.skirmish.s008,layout.skirmish.db.fc,Scenarios/DB_FC.md#s008,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S008,Standard,War,Regular,104737;130371;155929,196621,262155,327681,393249,458887,Planned,Pending,Pending,Pending,Pending,
S009,11,yes,,DB,opmap.skirmish.desert_base_01,FC,A,F,skirmish.s009,scenario.skirmish.s009,layout.skirmish.db.fc,Scenarios/DB_FC.md#s009,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S009,Standard,War,Regular,104738;130372;155930,196622,262156,327682,393250,458888,Planned,Pending,Pending,Pending,Pending,
S010,12,yes,,DB,opmap.skirmish.desert_base_01,FC,A,E,skirmish.s010,scenario.skirmish.s010,layout.skirmish.db.fc,Scenarios/DB_FC.md#s010,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S010,Standard,War,Regular,104739;130373;155931,196623,262157,327683,393251,458889,Planned,Pending,Pending,Pending,Pending,
S011,13,yes,,DB,opmap.skirmish.desert_base_01,FC,C,F,skirmish.s011,scenario.skirmish.s011,layout.skirmish.db.fc,Scenarios/DB_FC.md#s011,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S011,Standard,War,Regular,104740;130374;155932,196624,262158,327684,393252,458890,Planned,Pending,Pending,Pending,Pending,
S012,14,yes,,DB,opmap.skirmish.desert_base_01,FC,C,E,skirmish.s012,scenario.skirmish.s012,layout.skirmish.db.fc,Scenarios/DB_FC.md#s012,SkirmishFrontlineObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-07;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_fc,Assets/Game/Configs/SkirmishExpansion/Scenarios/S012,Standard,War,Regular,104741;130375;155933,196625,262159,327685,393253,458891,Planned,Pending,Pending,Pending,Pending,
S013,15,yes,,DB,opmap.skirmish.desert_base_01,BT,G,F,skirmish.s013,scenario.skirmish.s013,layout.skirmish.db.bt,Scenarios/DB_BT.md#s013,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S013,Standard,War,Regular,104742;130376;155934,196626,262160,327686,393254,458892,Planned,Pending,Pending,Pending,Pending,
S014,16,yes,,DB,opmap.skirmish.desert_base_01,BT,G,E,skirmish.s014,scenario.skirmish.s014,layout.skirmish.db.bt,Scenarios/DB_BT.md#s014,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S014,Standard,War,Regular,104743;130377;155935,196627,262161,327687,393255,458893,Planned,Pending,Pending,Pending,Pending,
S015,17,yes,,DB,opmap.skirmish.desert_base_01,BT,A,F,skirmish.s015,scenario.skirmish.s015,layout.skirmish.db.bt,Scenarios/DB_BT.md#s015,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S015,Standard,War,Regular,104744;130378;155936,196628,262162,327688,393256,458894,Planned,Pending,Pending,Pending,Pending,
S016,18,yes,,DB,opmap.skirmish.desert_base_01,BT,A,E,skirmish.s016,scenario.skirmish.s016,layout.skirmish.db.bt,Scenarios/DB_BT.md#s016,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S016,Standard,War,Regular,104745;130379;155937,196629,262163,327689,393257,458895,Planned,Pending,Pending,Pending,Pending,
S017,19,yes,,DB,opmap.skirmish.desert_base_01,BT,C,F,skirmish.s017,scenario.skirmish.s017,layout.skirmish.db.bt,Scenarios/DB_BT.md#s017,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S017,Standard,War,Regular,104746;130380;155938,196630,262164,327690,393258,458896,Planned,Pending,Pending,Pending,Pending,
S018,20,yes,,DB,opmap.skirmish.desert_base_01,BT,C,E,skirmish.s018,scenario.skirmish.s018,layout.skirmish.db.bt,Scenarios/DB_BT.md#s018,SkirmishBreakthroughObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-08;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_ground;advanced_air;objective_bt,Assets/Game/Configs/SkirmishExpansion/Scenarios/S018,Standard,War,Regular,104747;130381;155939,196631,262165,327691,393259,458897,Planned,Pending,Pending,Pending,Pending,
S019,21,yes,,DB,opmap.skirmish.desert_base_01,CE,G,F,skirmish.s019,scenario.skirmish.s019,layout.skirmish.db.ce,Scenarios/DB_CE.md#s019,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S019,Standard,War,Regular,104748;130382;155940,196632,262166,327692,393260,458898,Planned,Pending,Pending,Pending,Pending,
S020,22,yes,,DB,opmap.skirmish.desert_base_01,CE,G,E,skirmish.s020,scenario.skirmish.s020,layout.skirmish.db.ce,Scenarios/DB_CE.md#s020,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;advanced_ground;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S020,Standard,War,Regular,104749;130383;155941,196633,262167,327693,393261,458899,Planned,Pending,Pending,Pending,Pending,
S021,23,yes,,DB,opmap.skirmish.desert_base_01,CE,A,F,skirmish.s021,scenario.skirmish.s021,layout.skirmish.db.ce,Scenarios/DB_CE.md#s021,SkirmishConvoyObjectiveSystem,SK-00;SK-01;SK-02;SK-03;SK-04;SK-05;SK-09;SK-10;SK-11;SK-12;SK-13,ground;intel;transport;offensive_air;advanced_air;objective_ce;vehicle_repair,Assets/Game/Configs/SkirmishExpansion/Scenarios/S021,Standard,War,Regular,104750;130384;155942,196634,262168,327694,393262,458900,Planned,Pending,Pending,Pending,Pending,
