asset_kind,source_config,observed_display_name,source_sha256,proposed_role,proposed_disposition,evidence,runtime_certification,planned_use_contexts
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Bombsuit_Male_01_Config.asset,Bomb Suit Specialist,085b9659cb005c50bda0af64aa6f0b3db73bf176acad261522381ee28d0c36b0,,Scenario/Sandbox only; no invented special combat ability,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Civilian_Female_01_Config.asset,Civilian Female I,b1d46d60225e31d1dbbcbf97f68745030b69d7b7ebd5fbadb1aca3cb0e0d7057,,Scenario/Sandbox only; no invented special combat ability,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Civilian_Female_02_Config.asset,Civilian Female II,fb4b20ed5e4592a637fdbba29b9cc4c0dbe96cfafd05a7048c1ae170e2a22ead,,Scenario/Sandbox only; no invented special combat ability,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Civilian_Male_01_Config.asset,Civilian Male I,7ef51cea174e16e1eeb10551237106a599752e1be7dbbe5957f952b6cfee68df,,Scenario/Sandbox only; no invented special combat ability,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Civilian_Male_02_Config.asset,Civilian Male II,f7fcfbc362d721a0763138b1e13c8102099eee85a9e29dd866310bbdf3224560,,Scenario/Sandbox only; no invented special combat ability,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Contractor_Female_01_Config.asset,Security Contractor Female I,1c7751dee3c67f1e3051ff1f692e76e0f7c15f1ae0195185535a3e82da3fa11d,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Contractor_Male_01_Config.asset,Security Contractor Male I,9dcf4a1a7c08992b8faca810a910925fbd3dc18df3707320ca95ad70fc1a04dc,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Contractor_Male_02_Config.asset,Security Contractor Male II,280de5024326b5303535db31eaf6ac99d20b343b4bf861d561ccf881e730f110,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Ghillie_Male_01_Config.asset,Ghillie Rocketeer,e1a8e7e754a354bf282db62223f978567e60f2b8725f585821b25294c8b94ea4,role.rocketeer,Canonical role candidate; capability certification required,SourceReadOnly,Pending,S005 BA DB Combined; S095 CE IB Combined
Unit,Assets/Game/Configs/Prefabs/Prefab_UnitGrid_Chr_Insurgent_Female_01_Config.asset,Insurgent Rifleman Female I,14faaa79c9527bee45ad6676286ebb1ef6d494de15ea4f386468ce7c6f956656,,Alternate-faction appearance after explicit equivalent-role certification,SourceReadOnly,Pending,Record accepted variant/facility/scenario context before claiming coverage
