scenario_id,map_id,objective_id,army_profile,start_profile,working_title_en,recommended_size,default_difficulty,side_rule,roster_requirement,status
S001,DB,BA,G,F,Desert Base · Base Assault · Ground Maneuver · Field Base,Standard,Regular,symmetric,ground_transport_intel,Planned
S002,DB,BA,G,E,Desert Base · Base Assault · Ground Maneuver · Established Base,Standard,Regular,symmetric,ground_transport_intel,Planned
S003,DB,BA,A,F,Desert Base · Base Assault · Air Mobile · Field Base,War,Regular,symmetric,air_intel,Planned
S004,DB,BA,A,E,Desert Base · Base Assault · Air Mobile · Established Base,War,Regular,symmetric,air_intel,Planned
S005,DB,BA,C,F,Desert Base · Base Assault · Combined Arms · Field Base,War,Regular,symmetric,full_combined_arms,Planned
S006,DB,BA,C,E,Desert Base · Base Assault · Combined Arms · Established Base,War,Regular,symmetric,full_combined_arms,Planned
S007,DB,FC,G,F,Desert Base · Frontline Control · Ground Maneuver · Field Base,War,Regular,symmetric,ground_transport_intel,Planned
S008,DB,FC,G,E,Desert Base · Frontline Control · Ground Maneuver · Established Base,War,Regular,symmetric,ground_transport_intel,Planned
S009,DB,FC,A,F,Desert Base · Frontline Control · Air Mobile · Field Base,War,Regular,symmetric,air_intel,Planned
S010,DB,FC,A,E,Desert Base · Frontline Control · Air Mobile · Established Base,War,Regular,symmetric,air_intel,Planned
S011,DB,FC,C,F,Desert Base · Frontline Control · Combined Arms · Field Base,War,Regular,symmetric,full_combined_arms,Planned
S012,DB,FC,C,E,Desert Base · Frontline Control · Combined Arms · Established Base,War,Regular,symmetric,full_combined_arms,Planned
S013,DB,BT,G,F,Desert Base · Breakthrough · Ground Maneuver · Field Base,War,Regular,player_attacker,ground_transport_intel,Planned
S014,DB,BT,G,E,Desert Base · Breakthrough · Ground Maneuver · Established Base,War,Regular,player_attacker,ground_transport_intel,Planned
S015,DB,BT,A,F,Desert Base · Breakthrough · Air Mobile · Field Base,War,Regular,player_attacker,air_intel,Planned
S016,DB,BT,A,E,Desert Base · Breakthrough · Air Mobile · Established Base,War,Regular,player_attacker,air_intel,Planned
S017,DB,BT,C,F,Desert Base · Breakthrough · Combined Arms · Field Base,War,Regular,player_attacker,full_combined_arms,Planned
S018,DB,BT,C,E,Desert Base · Breakthrough · Combined Arms · Established Base,War,Regular,player_attacker,full_combined_arms,Planned
S019,DB,CE,G,F,Desert Base · Convoy Escort · Ground Maneuver · Field Base,War,Regular,player_escort,ground_transport_intel,Planned
S020,DB,CE,G,E,Desert Base · Convoy Escort · Ground Maneuver · Established Base,War,Regular,player_escort,ground_transport_intel,Planned
S021,DB,CE,A,F,Desert Base · Convoy Escort · Air Mobile · Field Base,War,Regular,player_escort,air_intel,Planned
S022,DB,CE,A,E,Desert Base · Convoy Escort · Air Mobile · Established Base,War,Regular,player_escort,air_intel,Planned
S023,DB,CE,C,F,Desert Base · Convoy Escort · Combined Arms · Field Base,War,Regular,player_escort,full_combined_arms,Planned
S024,DB,CE,C,E,Desert Base · Convoy Escort · Combined Arms · Established Base,War,Regular,player_escort,full_combined_arms,Planned
S025,CC,BA,G,F,City Crossroads · Base Assault · Ground Maneuver · Field Base,Standard,Regular,symmetric,ground_transport_intel,Planned
S026,CC,BA,G,E,City Crossroads · Base Assault · Ground Maneuver · Established Base,Standard,Regular,symmetric,ground_transport_intel,Planned
S027,CC,BA,A,F,City Crossroads · Base Assault · Air Mobile · Field Base,War,Regular,symmetric,air_intel,Planned
S028,CC,BA,A,E,City Crossroads · Base Assault · Air Mobile · Established Base,War,Regular,symmetric,air_intel,Planned
S029,CC,BA,C,F,City Crossroads · Base Assault · Combined Arms · Field Base,War,Regular,symmetric,full_combined_arms,Planned
S030,CC,BA,C,E,City Crossroads · Base Assault · Combined Arms · Established Base,War,Regular,symmetric,full_combined_arms,Planned
S031,CC,FC,G,F,City Crossroads · Frontline Control · Ground Maneuver · Field Base,War,Regular,symmetric,ground_transport_intel,Planned
S032,CC,FC,G,E,City Crossroads · Frontline Control · Ground Maneuver · Established Base,War,Regular,symmetric,ground_transport_intel,Planned
S033,CC,FC,A,F,City Crossroads · Frontline Control · Air Mobile · Field Base,War,Regular,symmetric,air_intel,Planned
S034,CC,FC,A,E,City Crossroads · Frontline Control · Air Mobile · Established Base,War,Regular,symmetric,air_intel,Planned
S035,CC,FC,C,F,City Crossroads · Frontline Control · Combined Arms · Field Base,War,Regular,symmetric,full_combined_arms,Planned
S036,CC,FC,C,E,City Crossroads · Frontline Control · Combined Arms · Established Base,War,Regular,symmetric,full_combined_arms,Planned
