asset_id,role,silhouette,state_strategy,tintable,source_master,runtime_png,unity_guid,atlas,max_display_px,slice_lbrt,used_by,sha256,perceptual_hash,status
ui_core_panel_9s,panel,hard_rect_9s,tint,yes,Assets/Game/Art/UI/V3Shared/SourceMasters/Calibration/ui_core_panel_9s_green_source.png,Assets/Game/Art/UI/V3Shared/Sprites/Core/ui_core_panel_9s.png,232aed8d5372e4a1f8ccb5323111653d,UI_V3_CoreChrome_01,scalable,24/24/24/24,shared_panels,9f1a79abb8b96f352bedb23079acc73716b1c5e121cde1280a87f25fd32f71da,pending,imported_validated_settings_pilot
ui_core_button_9s,button,hard_rect_9s,tint_plus_focus_overlay,yes,Assets/Game/Art/UI/V3Shared/SourceMasters/Calibration/ui_core_button_9s_green_source.png,Assets/Game/Art/UI/V3Shared/Sprites/Core/ui_core_button_9s.png,745cd5ef9eefc40f5a24acc6dd5cf2cc,UI_V3_CoreChrome_01,scalable,20/20/20/20,shared_buttons_and_tabs,a96f4516b7adb043be5f8c1d4703e2cf0314cd9c0e9a90c61dcec7cd14f64783,pending,imported_validated_settings_pilot
ui_core_focus_overlay_9s,focus_overlay,hard_rect_outline_9s,tint_and_visibility,yes,Assets/Game/Art/UI/V3Shared/SourceMasters/Calibration/ui_core_focus_overlay_9s_green_source.png,Assets/Game/Art/UI/V3Shared/Sprites/Core/ui_core_focus_overlay_9s.png,de73e3389bb534961a82da9b185dd8e9,UI_V3_CoreChrome_01,scalable,18/18/18/18,shared_focus_selected_pressed,66d7a607aef9e4bb6167aae1b518e6cf07d415e58532d8cd2e8c901575217d98,pending,imported_validated_settings_pilot
ui_icon_attack,tactical_icon,target_crosshair,tint,yes,Assets/Game/Art/UI/V3Shared/SourceMasters/Calibration/ui_icon_attack_green_source.png,Assets/Game/Art/UI/V3Shared/Sprites/Icons/ui_icon_attack.png,4142ddf28093143578185fe29810ebe0,UI_V3_CoreIcons_01,96,0/0/0/0,match_hud;command_wheel;district_actions;threat_and_raid,6be9bebda51fa7ba0a1707433791f28e9a5fd6198751bd9b6fed0b399e470419,pending,imported_validated
ui_icon_settings,system_icon,settings_gear,tint,yes,/Users/farhad/.codex/generated_images/01a05313-9ab3-7c90-9fff-9ea1e1a0134c/exec-2a7d6ca7-e35c-4cd7-a3c9-2f604133f506.png,Assets/Game/Art/UI/V3Shared/Sprites/Icons/Settings/ui_icon_settings_gear.png,fbefb7120a6d84e2e9efabe2c48d407b,UI_V3_CoreIcons_01,96,0/0/0/0,settings_entry_points,7b7dccd29f475833e13417d3773a6ab114771d03dcc1f76d7116cc5203171983,pending,generated_imported_validated
ui_icon_settings_audio,system_icon,speaker_waves,tint,yes,/Users/farhad/.codex/generated_images/01a05313-9ab3-7c90-9fff-9ea1e1a0134c/exec-31e26144-3b2c-4ef1-8929-0bc7938afc20.png,Assets/Game/Art/UI/V3Shared/Sprites/Icons/Settings/ui_icon_settings_audio.png,6944f53bb26ac4c5bb2dad3959c0da3b,UI_V3_CoreIcons_01,96,0/0/0/0,settings_audio_tab,3da6160e06ffce0eadf04a03fc68afccbc0de83a1a65f68ff93edfb8454f91f2,pending,generated_imported_validated
ui_icon_settings_video,system_icon,monitor,tint,yes,/Users/farhad/.codex/generated_images/01a05313-9ab3-7c90-9fff-9ea1e1a0134c/exec-3d2e87df-f7e7-42ca-9eae-e4da5c48c9be.png,Assets/Game/Art/UI/V3Shared/Sprites/Icons/Settings/ui_icon_settings_video.png,b919da17fa1e94a4f8182988840b9f5d,UI_V3_CoreIcons_01,96,0/0/0/0,settings_video_tab,cd1c704a01dc8ad0bfb22805e10199a6c4c4bd4c17948c68535ba8044eac03eb,pending,generated_imported_validated
ui_icon_settings_accessibility,system_icon,person_in_ring,tint,yes,/Users/farhad/.codex/generated_images/01a05313-9ab3-7c90-9fff-9ea1e1a0134c/exec-5302de8d-d007-4e21-a6e0-3d7170d00b78.png,Assets/Game/Art/UI/V3Shared/Sprites/Icons/Settings/ui_icon_settings_accessibility.png,cfef07fee2d2742d2b879e506646bd40,UI_V3_CoreIcons_01,96,0/0/0/0,settings_accessibility_tab,1d30c1370d1bf9845ad41c3b21c2b484728683a729111d0ffb1868bbef8dd16e,pending,generated_imported_validated
ui_icon_settings_reset,system_icon,circular_arrows,tint,yes,/Users/farhad/.codex/generated_images/01a05313-9ab3-7c90-9fff-9ea1e1a0134c/exec-fc3610ce-dc34-48d6-b1cc-fefa62429047.png,Assets/Game/Art/UI/V3Shared/Sprites/Icons/Settings/ui_icon_settings_reset.png,bc038fc42a43c4f259711e8e7330c87d,UI_V3_CoreIcons_01,96,0/0/0/0,settings_reset;refresh_actions,459f5a7ca86964e2bb2a3458eb5347a404c54f4184d9a0a7b8a6d54a4f691fc2,pending,generated_imported_validated
ui_resource_credits,resource_icon,credits_token,live_value,yes,,Assets/Game/Art/UI/Resources/resource_credits.png,eb997a2b2ee604b60935dfd2ff679509,UI_V3_CoreIcons_01,96,0/0/0/0,menu_and_progression,53b29e45d71f2f9a7ddf972cdabda299ac2cc7ce797953edee9c0d5ec71bbb9d,pending,existing_canonical
